,question_sent_count,question_tok_count,label,question_modality_strong,question_modality_weak,question_uncertainty,question_positive,question_negative
135,4,59,0,0,0,0,0.01694915254237288,0
136,3,40,0,0,0,0.025,0.05,0
137,2,47,1,0,0.02127659574468085,0,0.02127659574468085,0
138,6,52,1,0,0.01923076923076923,0.01923076923076923,0.01923076923076923,0.01923076923076923
139,4,135,1,0,0.01481481481481481,0.007407407407407407,0.007407407407407407,0.01481481481481481
140,5,59,1,0,0.01694915254237288,0,0,0
141,5,29,0,0,0,0,0,0
142,4,69,0,0,0,0,0,0.02898550724637681
143,7,85,1,0,0.01176470588235294,0.01176470588235294,0.01176470588235294,0.01176470588235294
144,3,51,1,0,0.05882352941176471,0.03921568627450980,0,0
145,5,45,0,0,0,0.02222222222222222,0,0.02222222222222222
146,2,7,0,0,0,0,0,0
147,8,145,0,0,0,0,0.01379310344827586,0.02068965517241379
148,6,70,0,0,0,0,0,0.04285714285714286
149,2,55,0,0,0,0,0,0.07272727272727273
150,6,35,0,0,0,0.02857142857142857,0,0
151,2,69,0,0,0,0,0,0.01449275362318841
152,2,7,0,0,0,0,0.1428571428571429,0
153,2,51,0,0,0,0,0,0.01960784313725490
154,1,26,0,0.03846153846153846,0,0,0.03846153846153846,0
155,5,113,1,0,0.008849557522123894,0.02654867256637168,0.03539823008849558,0.008849557522123894
156,2,43,0,0,0,0,0,0
157,4,71,1,0,0.02816901408450704,0,0.01408450704225352,0.02816901408450704
158,1,35,1,0,0.02857142857142857,0,0,0.02857142857142857
159,2,8,0,0,0,0,0.125,0
160,10,194,0,0.005154639175257732,0,0.01030927835051546,0.005154639175257732,0.02577319587628866
161,2,51,0,0,0,0,0,0.01960784313725490
162,1,21,0,0,0,0,0,0
163,4,44,0,0,0,0.02272727272727273,0.02272727272727273,0.02272727272727273
164,3,48,1,0,0.02083333333333333,0.04166666666666667,0.02083333333333333,0
165,2,131,1,0.007633587786259542,0.01526717557251908,0.007633587786259542,0.007633587786259542,0.02290076335877863
166,2,20,0,0,0,0,0,0
167,11,132,0,0,0,0,0.007575757575757576,0.007575757575757576
168,4,47,0,0,0,0.02127659574468085,0.02127659574468085,0.02127659574468085
169,4,65,1,0,0.03076923076923077,0,0.01538461538461538,0.01538461538461538
170,3,50,0,0,0,0.04,0,0.02
171,5,64,1,0,0.015625,0,0.03125,0.046875
172,2,52,1,0,0.01923076923076923,0.03846153846153846,0.03846153846153846,0
173,2,52,0,0,0,0,0.01923076923076923,0
174,3,60,1,0,0.01666666666666667,0.05,0,0.01666666666666667
175,2,49,1,0,0.02040816326530612,0,0,0
176,10,137,1,0,0.01459854014598540,0.01459854014598540,0.007299270072992701,0.01459854014598540
177,6,81,0,0,0,0.03703703703703704,0.03703703703703704,0
178,4,59,1,0,0.05084745762711864,0.01694915254237288,0.01694915254237288,0
179,8,80,0,0,0,0.0125,0,0.0375
180,2,22,0,0,0,0,0,0
181,4,161,1,0,0.006211180124223602,0.01242236024844720,0.01242236024844720,0.006211180124223602
182,9,60,0,0,0,0,0.01666666666666667,0.03333333333333333
183,8,50,0,0,0,0,0.02,0.06
184,10,108,1,0.009259259259259259,0.02777777777777778,0.009259259259259259,0,0.009259259259259259
185,5,77,1,0,0.01298701298701299,0.01298701298701299,0,0.02597402597402597
186,2,22,0,0.04545454545454545,0,0,0,0
187,7,92,0,0,0,0,0.02173913043478261,0
188,5,86,0,0,0,0,0.04651162790697674,0.02325581395348837
189,8,113,0,0,0,0.008849557522123894,0.008849557522123894,0.02654867256637168
190,10,61,0,0,0,0,0.01639344262295082,0.01639344262295082
191,5,142,1,0.007042253521126761,0.02112676056338028,0.02816901408450704,0.02112676056338028,0.01408450704225352
192,5,58,0,0,0,0.01724137931034483,0.01724137931034483,0.01724137931034483
193,2,22,0,0,0,0,0,0
194,8,76,0,0,0,0.01315789473684211,0.01315789473684211,0.03947368421052632
195,6,76,1,0,0.06578947368421053,0,0.02631578947368421,0.02631578947368421
196,8,111,1,0.01801801801801802,0.01801801801801802,0.009009009009009009,0,0.04504504504504505
197,5,107,1,0,0.03738317757009346,0.01869158878504673,0.03738317757009346,0.01869158878504673
198,3,50,0,0,0,0,0.02,0.02
199,8,119,1,0,0.01680672268907563,0.01680672268907563,0,0.008403361344537815
200,2,22,0,0.04545454545454545,0,0,0,0
201,1,5,0,0,0,0,0,0
202,6,96,1,0,0.01041666666666667,0.04166666666666667,0.04166666666666667,0.01041666666666667
203,5,96,0,0,0,0.02083333333333333,0,0.04166666666666667
204,12,106,1,0,0.01886792452830189,0.01886792452830189,0.02830188679245283,0.01886792452830189
205,6,85,1,0,0.03529411764705882,0.01176470588235294,0.01176470588235294,0.03529411764705882
206,9,67,0,0,0,0.01492537313432836,0.01492537313432836,0.02985074626865672
207,7,47,0,0,0,0,0.02127659574468085,0.04255319148936170
208,3,52,0,0,0,0.01923076923076923,0,0
209,2,22,0,0,0,0,0,0
210,9,113,0,0,0,0.008849557522123894,0.01769911504424779,0.01769911504424779
211,9,80,0,0,0,0.0125,0.0125,0.0125
212,6,61,1,0,0.03278688524590164,0,0.01639344262295082,0.01639344262295082
213,6,96,1,0.01041666666666667,0.03125,0,0,0.07291666666666667
214,11,110,1,0,0.02727272727272727,0,0.01818181818181818,0.02727272727272727
215,5,102,1,0.01960784313725490,0.02941176470588235,0.01960784313725490,0.009803921568627451,0.02941176470588235
216,9,85,1,0,0.03529411764705882,0,0.02352941176470588,0.01176470588235294
217,2,19,0,0,0,0,0,0
218,8,197,1,0,0.01015228426395939,0,0.02538071065989848,0.02030456852791878
219,7,92,1,0,0.05434782608695652,0.01086956521739130,0.02173913043478261,0.01086956521739130
220,7,116,0,0,0,0.008620689655172414,0.02586206896551724,0.01724137931034483
221,6,66,1,0,0.03030303030303030,0,0.01515151515151515,0
